region_id,row,col,women_2039,elderly_65,decline_risk_index,youth_netmove,service_access,biz_density,risk_grade,vulnerability,vuln_rank,type
298,19,13,0.0936,0.3345,0.2799,-1.7779,46.6949,8.7742,위험진입,1.748,1,1
284,18,14,0.1086,0.2775,0.3912,-3.299,45.4912,22.0668,위험진입,1.6224,2,1
281,18,11,0.0746,0.3324,0.2245,-2.0857,43.4402,19.4271,위험진입,1.6114,3,1
299,19,14,0.0671,0.2492,0.2694,-4.1387,33.3579,18.0303,위험진입,1.5379,4,1
236,15,11,0.0932,0.283,0.3295,-2.7247,36.6731,11.4681,위험진입,1.4892,5,1
296,19,11,0.1005,0.26,0.3866,-3.9266,38.551,23.9452,위험진입,1.4771,6,1
239,15,14,0.0927,0.2748,0.3372,-2.5756,43.2533,25.9284,위험진입,1.4754,7,1
293,19,8,0.0636,0.3073,0.2069,-2.2694,35.5908,15.5596,위험진입,1.4707,8,1
263,17,8,0.1037,0.2683,0.3865,-3.858,36.974,22.9524,위험진입,1.4356,9,1
238,15,13,0.0591,0.3425,0.1725,-2.7571,31.8064,17.6356,소멸고위험,1.4263,10,1
276,18,6,0.1466,0.2638,0.5559,-2.9188,44.905,21.1719,주의,1.4129,11,1
282,18,12,0.1104,0.2373,0.4652,-3.1457,36.0112,10.284,위험진입,1.4044,12,1
280,18,10,0.0702,0.2736,0.2567,-3.6632,37.0902,37.5301,위험진입,1.3597,13,1
204,13,9,0.0575,0.3083,0.1866,-3.4752,32.3839,31.9936,소멸고위험,1.337,14,1
253,16,13,0.1451,0.2929,0.4954,-3.452,36.7817,18.1365,위험진입,1.3367,15,1
283,18,13,0.0882,0.2475,0.3564,-1.7581,38.9476,17.9229,위험진입,1.334,16,1
254,16,14,0.1058,0.2948,0.3587,-1.787,45.2327,33.3004,위험진입,1.3267,17,1
297,19,12,0.119,0.2692,0.442,-3.9749,33.4827,20.4588,위험진입,1.3259,18,1
246,16,6,0.1276,0.353,0.3616,-1.2545,45.0331,29.518,위험진입,1.3016,19,1
259,17,4,0.1061,0.277,0.3831,-3.5068,35.0979,34.8962,위험진입,1.1946,20,1
223,14,13,0.1061,0.2186,0.4857,-2.7844,44.2139,41.3665,위험진입,1.1939,21,1
207,13,12,0.1236,0.2358,0.5241,-3.208,39.0836,31.0252,주의,1.1869,22,1
258,17,3,0.1118,0.1759,0.6356,-4.1074,38.6579,33.7585,주의,1.1407,23,1
268,17,13,0.1206,0.2652,0.4547,-3.0142,30.1768,18.4169,위험진입,1.1289,24,1
243,16,3,0.1256,0.2447,0.5132,-2.1935,39.0271,27.0051,주의,1.1248,25,1
234,15,9,0.0898,0.2395,0.3749,-2.1437,35.281,28.5187,위험진입,1.1245,26,1
264,17,9,0.1424,0.2353,0.605,-2.9635,38.1181,26.2092,주의,1.1118,27,1
294,19,9,0.0868,0.2683,0.3234,-0.0599,34.7625,12.6173,위험진입,1.1081,28,1
260,17,5,0.1287,0.2163,0.595,-2.9183,36.3799,28.6652,주의,1.0352,29,1
206,13,11,0.1692,0.2586,0.6541,-3.5883,35.4631,28.8363,주의,1.0295,30,1
194,12,14,0.1071,0.2226,0.4811,-3.1248,26.9342,17.9569,위험진입,1.0283,31,1
221,14,11,0.1085,0.2958,0.367,-1.6812,31.5887,24.599,위험진입,1.0186,32,1
145,9,10,0.1101,0.2565,0.4294,-2.0468,40.4375,44.2385,위험진입,1.015,33,3
209,13,14,0.1256,0.2772,0.453,-1.178,38.0092,28.453,위험진입,1.0143,34,1
279,18,9,0.1268,0.264,0.4804,-1.5218,43.0565,43.4262,위험진입,0.9894,35,3
