파라미터,배수,값,즉시철수,만료시철수,유지,컷라인(관측),Jaccard
rent_share,0.7,0.245,0.3925,0.2287,0.3789,45.487,0.91
rent_share,1.3,0.455,0.319,0.3021,0.3789,40.089,0.893
penalty,0.7,0.21,0.3808,0.2404,0.3789,44.523,0.938
penalty,1.3,0.39,0.3244,0.2967,0.3789,41.053,0.908
restore,0.7,2.8,0.3668,0.2543,0.3789,43.752,0.974
restore,1.3,5.2,0.3294,0.2917,0.3789,41.824,0.922
discount,0.7,0.0035,0.3573,0.2639,0.3789,42.967,1.0
discount,1.3,0.0065,0.3573,0.2639,0.3789,42.607,1.0
decay,0.7,-0.0035,0.3328,0.2576,0.4097,42.018,0.931
decay,1.3,-0.0065,0.3654,0.3016,0.3331,43.569,0.978
lease_months,0.7,17.0,0.3221,0.2715,0.4064,40.953,0.901
lease_months,1.3,31.0,0.3803,0.2866,0.3331,44.086,0.939
