obj_id,dom_parcel,area_m2,area_scalar,area_perim,perim_m,compactness,aspect,min_width_m,frontage_m,slack,is_good,true_m2,visit_rank
309,7,3059.0,3450.115,3317.327,282.0,0.483,1.377,48.0,33.0,2.75,True,3275.0,1
160,8,2825.0,3186.196,3050.349,246.0,0.587,1.744,40.0,76.0,2.667,True,3034.0,2
828,0,2126.0,2397.824,2320.203,212.0,0.594,1.289,40.0,61.0,2.32,False,0.0,3
64,0,2101.0,2369.628,2287.875,204.0,0.634,1.39,42.0,48.0,2.288,False,0.0,4
207,10,1843.0,2078.64,2024.378,198.0,0.591,1.31,38.0,28.0,2.024,True,2021.0,5
830,11,1676.0,1890.288,1842.722,182.0,0.636,1.444,34.059,51.0,1.843,True,1836.0,6
370,12,1472.0,1660.205,1616.736,158.0,0.741,1.257,36.0,37.0,1.617,True,1628.0,7
562,0,1445.0,1629.753,1593.401,162.0,0.692,1.026,36.0,40.0,1.593,False,0.0,8
193,20,925.0,1043.268,1049.583,136.0,0.628,1.167,28.0,39.0,1.05,True,1044.0,9
244,23,901.0,1016.199,1023.751,134.0,0.631,1.25,28.0,60.0,1.024,True,1015.0,10
242,22,905.0,1020.711,1020.423,126.0,0.716,1.032,30.0,32.0,1.02,True,1024.0,11
