tau_m2,n_cand,n_miss,cost_x1,cost_x3,cost_x10
300.0,20,0,20,20,20
325.0,20,0,20,20,20
350.0,20,0,20,20,20
375.0,19,0,19,19,19
400.0,19,0,19,19,19
425.0,19,0,19,19,19
450.0,19,0,19,19,19
475.0,19,0,19,19,19
500.0,19,0,19,19,19
525.0,18,0,18,18,18
550.0,17,0,17,17,17
575.0,16,0,16,16,16
600.0,16,0,16,16,16
625.0,16,0,16,16,16
650.0,16,0,16,16,16
675.0,16,0,16,16,16
700.0,16,0,16,16,16
725.0,14,0,14,14,14
750.0,14,0,14,14,14
775.0,14,0,14,14,14
800.0,13,1,14,16,23
825.0,12,2,14,18,32
850.0,12,2,14,18,32
875.0,11,2,13,17,31
900.0,11,2,13,17,31
925.0,8,5,13,23,58
950.0,8,5,13,23,58
975.0,8,5,13,23,58
1000.0,8,5,13,23,58
1025.0,8,5,13,23,58
1050.0,8,5,13,23,58
1075.0,8,5,13,23,58
1100.0,8,5,13,23,58
1125.0,8,5,13,23,58
1150.0,8,5,13,23,58
1175.0,8,5,13,23,58
1200.0,8,5,13,23,58
1225.0,8,5,13,23,58
1250.0,8,5,13,23,58
1275.0,8,5,13,23,58
1300.0,8,5,13,23,58
1325.0,8,5,13,23,58
1350.0,8,5,13,23,58
1375.0,8,5,13,23,58
1400.0,8,5,13,23,58
1425.0,8,5,13,23,58
1450.0,7,5,12,22,57
1475.0,6,6,12,24,66
1500.0,6,6,12,24,66
