test_idx,actual,pred_mean,pred_lo,pred_hi
0,84.06,81.78,60.15,103.42
1,78.04,94.93,72.12,117.75
2,87.93,99.57,77.67,121.47
3,93.89,99.46,76.76,122.15
4,99.08,100.08,76.52,123.63
5,100.13,95.21,71.5,118.92
6,117.54,94.1,70.46,117.75
7,116.35,93.98,69.43,118.53
8,90.56,93.87,70.4,117.33
9,80.13,87.51,63.52,111.5
10,81.15,79.0,54.37,103.63
11,67.14,72.46,48.91,96.01
12,61.96,60.62,37.23,84.0
13,51.01,50.02,27.26,72.77
14,36.26,37.07,15.44,58.7
15,42.54,20.46,-1.86,42.79
16,39.92,13.54,-10.31,37.38
17,29.28,8.31,-14.56,31.19
18,31.88,9.49,-13.14,32.12
19,38.9,14.52,-8.49,37.54
20,45.75,23.87,1.97,45.76
21,55.62,37.68,15.4,59.96
22,70.95,55.58,34.59,76.57
23,72.81,73.35,52.27,94.44
24,80.91,86.02,64.59,107.44
25,80.17,96.77,74.8,118.74
26,95.13,99.73,77.47,122.0
27,108.64,103.95,81.23,126.67
28,131.07,101.65,78.54,124.76
29,109.45,104.29,79.8,128.77
30,115.61,97.94,73.98,121.9
31,109.31,98.09,74.3,121.87
32,115.07,93.36,68.14,118.58
33,120.23,92.22,68.73,115.71
34,83.22,94.06,70.93,117.19
35,73.04,85.59,62.61,108.57
36,68.81,76.33,53.98,98.69
37,57.69,65.58,43.71,87.44
38,54.01,52.34,29.92,74.76
39,42.53,36.36,14.93,57.79
40,34.66,23.25,1.51,44.98
41,36.99,12.28,-9.31,33.87
42,40.29,9.49,-13.83,32.81
43,42.97,11.65,-11.19,34.48
44,47.9,16.49,-6.59,39.56
45,58.23,28.17,5.99,50.34
46,68.07,44.42,22.84,66.0
47,79.04,63.68,41.52,85.83
48,86.21,80.78,59.14,102.41
49,91.32,94.19,71.99,116.39
50,102.45,103.31,80.58,126.05
51,119.1,107.35,85.29,129.41
52,102.54,105.64,83.69,127.59
53,115.41,102.5,79.34,125.66
54,106.07,99.86,75.71,124.02
55,105.92,96.82,70.53,123.12
56,111.68,94.09,70.48,117.7
57,92.11,92.1,68.34,115.86
58,80.32,84.63,60.78,108.48
59,63.91,77.92,54.95,100.89
60,61.54,65.52,43.84,87.19
61,51.03,50.78,27.57,73.98
62,48.35,38.29,16.83,59.75
63,31.63,23.12,1.06,45.19
64,29.25,12.54,-11.37,36.45
65,27.51,7.96,-15.75,31.67
66,33.67,8.73,-14.53,31.99
67,30.46,11.35,-10.81,33.51
68,37.79,18.19,-5.09,41.46
69,46.85,29.22,7.46,50.98
70,54.28,43.48,22.33,64.62
71,61.55,61.24,39.22,83.25
72,73.92,75.0,53.01,96.99
73,92.97,89.36,68.85,109.86
74,79.7,99.94,78.13,121.75
75,97.09,99.52,76.17,122.88
76,92.2,101.68,79.51,123.86
77,111.95,98.44,75.36,121.52
78,82.84,98.43,74.11,122.75
79,87.93,88.69,65.9,111.47
80,90.38,84.13,59.15,109.12
81,93.42,80.36,57.89,102.82
82,67.3,77.3,55.3,99.31
83,54.44,63.23,39.83,86.63
84,53.29,50.56,28.84,72.28
85,29.79,35.68,14.09,57.28
86,17.97,18.61,-3.84,41.07
87,21.64,8.13,-15.7,31.95
88,13.36,5.78,-18.09,29.65
89,9.41,4.94,-18.68,28.57
90,17.19,7.99,-15.38,31.35
91,18.83,12.55,-11.58,36.69
92,21.48,21.86,-0.71,44.42
93,26.43,28.62,6.95,50.28
94,44.23,39.88,18.44,61.32
95,53.25,53.85,32.41,75.29
96,60.17,68.22,46.79,89.65
97,88.26,80.0,57.98,102.02
98,66.98,91.57,69.21,113.92
99,68.39,97.84,75.05,120.63
100,80.35,95.04,72.99,117.08
101,87.82,94.76,72.84,116.67
102,89.0,88.87,66.07,111.66
103,79.84,85.18,62.19,108.17
104,79.1,79.83,56.87,102.8
