admin_area,mean_ml_risk,mean_pi_half,low_conf_units,n_units,confidence,priority_rank
A01,5.628987213577408,0.43384088589698805,4,30,높음,1
A02,5.293059311432335,0.518784135852113,7,30,중간,2
A07,5.256339153864335,0.48906474491542345,8,30,높음,3
A08,5.1680607646309875,0.45096220185416425,1,30,높음,4
A10,5.141036201595041,0.5679432988745797,8,30,중간,5
A09,5.115144192394001,0.45755779591941526,6,30,높음,6
A06,5.05428692317422,0.6853783802178213,17,30,낮음,7
A05,4.864371846490674,0.727730265441405,20,30,낮음,8
A03,4.7766203318925164,0.5860063192844331,11,30,중간,9
A04,4.751516116595964,0.728760167346221,18,30,낮음,10
