cell_id,sigungu,dong,x_m,y_m,n_poi,n_food,n_infra,pop_offpeak,pop_peak,orders_per_hour,hub_minutes,bundle,cost_per_order,margin_per_order,cell_margin_per_hour,outside_offpeak,outside_peak,infra_walk_min,infra_weak,is_hub
0,서대문구,신촌동,949750.0,1950750.0,90,15,3,1713.6441,1365.6809,2.0564,2.6034,1.3427,3363.3497,1136.6503,2337.3769,False,True,5.383,True,False
1,서대문구,신촌동,950250.0,1950750.0,617,135,46,11747.9823,9362.5015,14.0976,1.8409,2.0,2752.2727,1747.7273,24638.7228,False,False,1.7442,False,False
2,서대문구,신촌동,950750.0,1950750.0,106,25,9,2018.2919,1608.4687,2.422,2.6034,1.4037,3312.8514,1187.1486,2875.215,False,False,4.3516,False,False
3,서대문구,신촌동,951250.0,1950750.0,14,2,1,266.5669,212.4393,0.3199,4.1164,1.0533,4544.828,-44.828,-14.3396,True,True,5.0486,False,False
4,서대문구,신촌동,949250.0,1951250.0,95,23,1,1808.8465,1441.5521,2.1706,3.6818,1.3618,3822.2211,677.7789,1471.1976,False,True,5.2393,True,False
5,서대문구,신촌동,949750.0,1951250.0,654,59,9,12452.4804,9923.9481,14.943,1.8409,2.0,2752.2727,1747.7273,26116.2476,False,True,0.819,False,False
6,서대문구,신촌동,950250.0,1951250.0,887,546,72,16888.9146,13459.5443,20.2667,0.0,2.0,2200.0,2300.0,46613.4042,False,False,0.4064,False,True
7,서대문구,신촌동,950750.0,1951250.0,743,232,35,14147.084,11274.4548,16.9765,1.8409,2.0,2752.2727,1747.7273,29670.2935,False,False,1.7921,False,False
8,서대문구,신촌동,951250.0,1951250.0,348,117,19,6626.0905,5280.6329,7.9513,3.6818,2.0,3304.5455,1195.4545,9505.428,False,False,3.2403,False,False
9,서대문구,북아현동,951750.0,1951250.0,245,64,20,43255.4895,26964.2918,51.9066,4.1164,2.0,3434.9194,1065.0806,55284.7013,False,True,3.7084,False,False
10,서대문구,북아현동,952250.0,1951250.0,256,46,14,45197.5727,28174.9335,54.2371,2.6034,2.0,2981.0316,1518.9684,82384.4226,False,False,3.9464,False,False
11,서대문구,충현동,952750.0,1951250.0,263,108,5,11632.3838,7789.6987,13.9589,1.8409,2.0,2752.2727,1747.7273,24396.2813,False,False,1.7906,False,False
12,서대문구,연희동,949250.0,1951750.0,78,28,8,1242.6599,1235.0676,1.4912,4.1164,1.2485,4178.1942,321.8058,479.8742,False,True,4.8112,False,False
13,서대문구,연희동,949750.0,1951750.0,246,68,18,3919.1582,3895.2132,4.703,2.6034,1.7838,3075.6786,1424.3214,6698.5691,False,True,2.2168,False,False
14,서대문구,신촌동,950750.0,1951750.0,93,54,3,1770.7656,1411.2036,2.1249,2.6034,1.3542,3353.5351,1146.4649,2436.1447,False,False,0.682,False,False
15,서대문구,신촌동,951250.0,1951750.0,60,22,1,1142.4294,910.454,1.3709,4.1164,1.2285,4210.4738,289.5262,396.9158,False,True,4.7626,False,False
16,서대문구,충현동,951750.0,1951750.0,214,48,7,9465.1336,6338.386,11.3582,3.6818,2.0,3304.5455,1195.4545,13578.1644,False,True,3.3024,False,False
17,서대문구,충현동,952250.0,1951750.0,121,23,4,5351.7811,3583.8538,6.4221,1.8409,2.0,2752.2727,1747.7273,11224.1446,False,False,1.3387,False,False
18,서대문구,충현동,952750.0,1951750.0,505,214,33,22335.9461,14957.4062,26.8031,0.0,2.0,2200.0,2300.0,61647.2112,False,False,0.4613,False,True
19,서대문구,충현동,953250.0,1951750.0,32,25,2,1415.3471,947.796,1.6984,1.8409,1.2831,3060.8618,1439.1382,2444.256,False,True,3.7053,False,False
20,서대문구,남가좌1동,948250.0,1952250.0,216,64,36,3296.6639,3826.4767,3.956,5.5227,1.6593,4196.9691,303.0309,1198.7891,False,True,3.1223,False,False
21,서대문구,연희동,948750.0,1952250.0,66,8,1,1051.4815,1045.0572,1.2618,5.8215,1.2103,5085.9705,-585.9705,-739.3646,True,True,4.6489,False,False
22,서대문구,연희동,949250.0,1952250.0,184,46,3,2931.4029,2913.4928,3.5177,5.2069,1.5863,4169.4664,330.5336,1162.7125,False,False,3.084,False,False
23,서대문구,연희동,949750.0,1952250.0,705,229,46,11231.7338,11163.1111,13.4781,4.1164,2.0,3434.9194,1065.0806,14355.2426,False,False,0.9826,False,False
24,서대문구,연희동,950250.0,1952250.0,23,2,1,366.4254,364.1866,0.4397,3.6818,1.0733,4258.2518,241.7482,106.2992,False,True,5.2954,True,False
25,서대문구,신촌동,950750.0,1952250.0,73,31,3,1389.9558,1107.719,1.6679,4.1164,1.278,4132.5945,367.4055,612.8128,False,True,3.2979,False,False
26,서대문구,신촌동,951250.0,1952250.0,56,6,3,1066.2674,849.757,1.2795,5.2069,1.2133,4774.9988,-274.9988,-351.8668,True,True,1.2231,False,False
27,서대문구,충현동,951750.0,1952250.0,10,1,0,442.296,296.1863,0.5308,4.1164,1.0885,4469.1147,30.8853,16.3925,False,True,7.536,True,False
28,서대문구,천연동,952250.0,1952250.0,205,46,12,4099.5441,4676.0331,4.9195,2.6034,1.8199,3058.3195,1441.6805,7092.2796,False,False,2.0842,False,False
29,서대문구,천연동,952750.0,1952250.0,369,164,29,7379.1794,8416.8595,8.855,1.8409,2.0,2752.2727,1747.7273,15476.1518,False,False,0.5921,False,False
30,종로구,사직동,953250.0,1952250.0,150,58,3,2162.7017,1431.5349,2.5952,2.6034,1.4325,3290.4148,1209.5852,3139.1664,False,True,1.3691,False,False
31,종로구,사직동,953750.0,1952250.0,329,78,28,4743.5257,3139.8333,5.6922,4.1164,1.9487,3467.4256,1032.5744,5877.6521,False,True,2.2359,False,False
32,종로구,종로1.2.3.4가동,954250.0,1952250.0,388,138,20,5592.0757,3591.9546,6.7105,2.6034,2.0,2981.0316,1518.9684,10193.0236,False,True,1.9266,False,False
