cell,row,col,pop,access_도서관,access_돌봄,access_공원,access_체육,access_composite,deficit_min,priority_score,priority_rank
30,2,0,6321.0,50.3115,50.3115,31.8198,48.0234,45.1166,30.1166,190366.8641,1
22,1,7,5476.0,47.4342,60.4669,31.8198,50.3115,47.5081,32.5081,178014.4003,2
68,4,8,9701.0,23.7171,43.7321,16.7705,37.5,30.4299,15.4299,149685.7788,3
39,2,9,5003.0,37.5,54.6008,33.541,53.033,44.6687,29.6687,148432.5717,4
57,3,12,6517.0,22.5,45.6207,15.0,67.082,37.5507,22.5507,146962.844,5
118,7,13,9571.0,10.6066,21.2132,30.0,58.5769,30.0992,15.0992,144514.1506,6
193,12,13,9220.0,37.5,23.7171,30.0,30.9233,30.5351,15.5351,143233.5636,7
164,10,14,6679.0,33.541,23.7171,40.3887,47.4342,36.2703,21.2703,142064.0049,8
273,18,3,6784.0,45.0,16.7705,40.3887,40.3887,35.637,20.637,140001.3774,9
35,2,5,6199.0,47.4342,47.4342,16.7705,38.2426,37.4704,22.4704,139293.8329,10
148,9,13,9241.0,23.7171,15.0,33.541,48.0234,30.0704,15.0704,139265.4137,11
40,2,10,4797.0,33.541,53.033,30.9233,58.5769,44.0185,29.0185,139201.976,12
13,0,13,3358.0,45.6207,69.1466,23.7171,85.5132,55.9994,40.9994,137675.9363,13
10,0,10,3341.0,47.4342,67.9154,37.5,69.1466,55.499,40.499,135307.2733,14
162,10,12,14247.0,21.2132,10.6066,27.0416,37.5,24.0904,9.0904,129510.3579,15
51,3,6,6992.0,37.5,43.7321,16.7705,33.541,32.8859,17.8859,125058.3329,16
85,5,10,9205.0,16.7705,30.9233,16.7705,47.4342,27.9746,12.9746,119431.3696,17
3,0,3,3292.0,60.0,60.0,30.9233,53.033,50.9891,35.9891,118476.0355,18
274,18,4,5817.0,45.6207,23.7171,33.541,38.2426,35.2804,20.2804,117970.894,19
252,16,12,7101.0,61.8466,37.5,27.0416,0.0,31.5971,16.5971,117855.6857,20
11,0,11,2885.0,45.6207,67.5,31.8198,74.2462,54.7967,39.7967,114813.4335,21
101,6,11,11461.0,7.5,22.5,16.7705,53.033,24.9509,9.9509,114047.0312,22
244,16,4,9658.0,30.9233,22.5,30.0,23.7171,26.7851,11.7851,113820.4346,23
69,4,9,6473.0,22.5,40.3887,21.2132,43.7321,31.9585,16.9585,109772.4979,24
18,1,3,3747.0,52.5,52.5,23.7171,45.6207,43.5845,28.5845,107105.9355,25
292,19,7,5146.0,60.4669,37.5,23.7171,21.2132,35.7243,20.7243,106647.2722,26
41,2,11,3777.0,30.9233,52.5,23.7171,64.5174,42.9145,27.9145,105432.891,27
179,11,14,5050.0,37.5,27.0416,38.2426,40.3887,35.7933,20.7933,105005.9339,28
149,9,14,4975.0,27.0416,22.5,40.3887,54.0833,36.0034,21.0034,104491.9644,29
