cell,row,col,elevation,slope,river_dist,imperv,rainfall,flood_depth,depth_lag,elev_lag,pred_depth,priority_rank,admin
142,9,7,1.7669,8.6808,0.0,0.6434,101.835,35.4672,28.4542,10.4477,34.5165,1,2
277,18,7,2.7231,7.9745,0.0,0.7498,126.2323,34.5904,27.662,10.6976,34.1792,2,2
202,13,7,3.0841,4.4793,0.0,0.5137,120.7568,32.805,28.8168,7.5634,31.9121,3,2
187,12,7,0.0,5.6156,0.0,0.6516,114.3767,31.3522,28.6636,5.6156,31.9048,4,2
127,8,7,6.1775,5.0764,0.0,0.8065,114.1385,31.6198,24.5753,11.2539,31.303,5,2
246,16,6,6.1004,3.1716,1.0,0.6044,150.9308,31.54,26.8697,9.272,31.158,6,2
262,17,7,5.2629,2.3101,0.0,0.6061,125.5327,30.2243,27.6062,7.5731,30.7604,7,2
218,14,8,7.9991,2.4694,1.0,0.6877,120.6856,30.706,27.284,10.4685,30.0674,8,3
172,11,7,3.5861,3.668,0.0,0.5659,116.0417,30.4101,26.8724,7.2541,29.9893,9,2
232,15,7,3.6096,5.0272,0.0,0.5462,112.9778,29.4097,28.3728,8.6368,29.9111,10,2
216,14,6,10.077,0.8908,1.0,0.6602,118.2841,30.7014,27.011,10.9678,29.3423,11,2
292,19,7,12.1225,4.4902,0.0,0.8186,126.7329,29.23,30.158,7.6323,29.1475,12,2
233,15,8,12.2804,1.7328,1.0,0.6343,117.4615,29.7153,27.0315,10.5476,29.1406,13,3
188,12,8,5.5689,4.0922,1.0,0.4778,105.8406,29.784,25.4667,9.6611,29.06,14,3
217,14,7,6.4748,0.2824,0.0,0.5174,121.9528,29.1807,30.9055,6.1925,28.8773,15,2
37,2,7,8.0288,4.5556,0.0,0.6374,87.0929,28.2356,24.9562,12.5844,28.4318,16,2
293,19,8,6.0081,9.5765,1.0,0.3818,128.8086,28.822,25.4637,15.5846,28.1367,17,3
7,0,7,6.5087,6.8276,0.0,0.756,95.5848,27.5534,24.8612,13.3363,28.1219,18,2
231,15,6,6.8907,0.6242,1.0,0.4671,135.9915,28.0575,28.6389,7.5149,27.8431,19,2
201,13,6,13.0348,3.2325,1.0,0.6874,110.8304,28.3866,27.8598,9.8023,27.6992,20,2
173,11,8,7.2742,1.0455,1.0,0.6022,123.305,25.5915,27.1644,8.3197,27.6369,21,3
261,17,6,9.7673,0.5207,1.0,0.6201,115.9616,26.9363,26.7015,9.2466,27.4309,22,2
276,18,6,9.7712,1.6973,1.0,0.7403,129.4014,27.0194,25.3203,11.4685,27.3672,23,2
158,10,8,11.0067,0.654,1.0,0.62,115.617,26.8228,25.6675,11.6607,27.2712,24,3
157,10,7,9.4528,2.139,0.0,0.4985,118.8402,28.5856,29.7837,7.3138,27.2418,25,2
97,6,7,9.0122,4.4565,0.0,0.6275,96.2909,27.6836,23.8593,13.4687,26.9033,26,2
52,3,7,7.2933,6.5125,0.0,0.5315,111.3431,28.4126,22.9255,13.8058,26.8026,27,2
247,16,7,8.9015,0.6318,0.0,0.479,130.8103,26.5377,29.1311,8.2697,26.7709,28,2
22,1,7,12.761,2.2065,0.0,0.7405,96.1513,26.8907,24.9625,10.5545,26.5038,29,2
141,9,6,11.1944,2.8562,1.0,0.6194,121.0018,28.1319,23.0123,14.0506,26.4261,30,2
249,16,9,11.8761,5.3361,2.0,0.6395,128.752,27.6523,21.4994,17.2121,26.4122,31,3
203,13,8,10.7442,4.4157,1.0,0.3997,119.5342,26.3478,28.1785,6.3285,26.3604,32,3
143,9,8,14.9662,3.8856,1.0,0.7385,93.6213,25.4795,25.488,11.0806,25.9619,33,3
291,19,6,14.1657,0.5505,1.0,0.6099,127.0382,27.0616,25.6597,13.6153,25.9606,34,2
38,2,8,14.0758,1.8905,1.0,0.7186,99.1365,27.0223,22.308,15.9664,25.3949,35,3
156,10,6,12.8954,1.2908,1.0,0.7091,106.1332,26.4346,24.5203,14.1862,25.2445,36,2
248,16,8,18.106,7.6164,1.0,0.6648,116.8419,25.3502,26.5664,10.4896,24.9602,37,3
8,0,8,13.407,0.7281,1.0,0.6499,77.0152,24.7053,23.5136,12.6789,24.8477,38,3
200,13,5,15.8251,1.952,2.0,0.7237,114.2396,26.2775,21.7343,17.7771,24.7565,39,2
112,7,7,9.2904,2.1372,0.0,0.5186,97.7194,25.1679,24.8273,11.4276,24.7141,40,2
278,18,8,15.6338,6.5137,1.0,0.5497,125.6726,24.1741,26.4595,9.1201,24.4345,41,3
96,6,6,14.0358,1.6916,1.0,0.6712,86.9372,25.9377,21.3702,15.7274,24.4323,42,2
230,15,5,10.2725,3.6502,2.0,0.5166,128.1675,22.9045,22.7241,13.9227,24.0223,43,2
245,16,5,11.5285,3.4723,2.0,0.5409,129.9238,25.9473,21.1022,15.0008,23.9434,44,2
219,14,9,12.3748,0.1429,2.0,0.7555,107.8846,23.8923,22.6603,12.2319,23.8777,45,3
186,12,6,10.2231,1.1781,1.0,0.4865,117.8537,21.6551,24.7984,11.4012,23.8742,46,2
82,5,7,11.3453,2.0747,0.0,0.4077,112.0138,23.5796,22.5215,13.42,23.7697,47,2
234,15,9,12.4755,1.3324,2.0,0.3721,112.9769,22.66,26.0104,13.8079,23.7685,48,3
263,17,8,8.9004,5.3455,1.0,0.4881,125.1718,22.3603,24.6686,14.2459,23.598,49,3
171,11,6,12.2893,1.8664,1.0,0.5312,126.3738,21.9605,24.9336,10.4228,23.422,50,2
23,1,8,14.6298,0.3833,1.0,0.6701,87.5427,23.1372,24.8397,15.0131,23.3143,51,3
67,4,7,10.9301,3.2701,0.0,0.5013,103.8565,22.6365,22.6699,14.2001,23.236,52,2
6,0,6,13.8409,2.1375,1.0,0.5399,99.6034,22.9877,24.3393,11.7034,23.0239,53,2
174,11,9,13.1172,3.4625,2.0,0.6343,111.0964,21.6406,20.5584,16.5797,22.9954,54,3
128,8,8,13.8245,0.6139,1.0,0.4141,97.3787,22.1425,24.5816,13.2106,22.911,55,3
5,0,5,15.5509,2.4438,2.0,0.4337,99.3291,24.5407,18.4832,17.9947,22.5992,56,2
21,1,6,13.0506,2.7864,1.0,0.5571,95.7569,20.9238,21.1521,15.837,22.3389,57,2
113,7,8,12.7347,3.6672,1.0,0.6699,104.4033,20.1464,20.1575,16.4018,22.2876,58,3
170,11,5,14.9867,4.8151,2.0,0.6017,130.832,21.2347,18.1703,19.8018,22.2075,59,2
215,14,5,17.4709,3.5574,2.0,0.6014,125.4916,22.4191,24.7356,13.9135,21.999,60,2
159,10,9,14.9497,0.9146,2.0,0.5569,112.5404,23.0134,20.4732,15.8643,21.9534,61,3
98,6,8,19.2032,4.1223,1.0,0.6436,95.1788,20.7522,21.325,15.0809,21.3805,62,3
235,15,10,18.7004,0.507,3.0,0.6165,110.3452,22.7815,18.8471,18.1934,20.9251,63,4
53,3,8,16.7058,0.5773,1.0,0.6777,87.6701,19.9754,22.9736,16.1285,20.7727,64,3
9,0,9,16.8983,3.5387,2.0,0.7679,93.3043,19.8503,19.1174,20.437,20.6431,65,3
24,1,9,19.8084,0.7081,2.0,0.7785,94.7691,20.7406,19.5767,20.5165,20.3281,66,3
294,19,9,18.9975,1.9661,2.0,0.4063,124.506,22.9872,21.5823,17.0314,20.2562,67,3
264,17,9,17.981,1.6736,2.0,0.668,117.452,18.9258,20.5344,16.3074,20.1406,68,3
81,5,6,16.4487,0.6655,1.0,0.7371,108.5007,19.326,20.5681,17.1142,20.0807,69,2
204,13,9,8.6618,7.441,2.0,0.2043,125.2986,19.419,21.6031,16.1028,20.0449,70,3
68,4,8,20.891,3.724,1.0,0.6043,94.3183,20.4997,19.7802,17.1671,19.8767,71,3
279,18,9,18.8486,0.6797,2.0,0.6036,124.7761,20.0653,18.2315,19.5283,19.8761,72,3
129,8,9,18.9641,1.389,2.0,0.6071,96.0437,21.0806,16.3947,20.3531,19.6848,73,3
83,5,8,17.2892,0.7824,1.0,0.4298,96.3294,20.44,20.0687,18.0716,19.53,74,3
290,19,5,18.9521,0.6416,2.0,0.4133,126.3357,20.7296,18.3083,19.5937,19.2687,75,2
51,3,6,19.5586,3.2327,1.0,0.6816,98.1066,20.8546,18.3756,16.3259,19.2624,76,2
189,12,9,20.6262,7.0781,2.0,0.6399,111.7916,18.5753,20.8757,13.5481,19.2164,77,3
260,17,5,15.8519,1.1131,2.0,0.5515,121.1438,18.0221,19.3499,14.7388,19.1127,78,2
250,16,10,20.286,0.8631,3.0,0.5862,116.6053,19.0618,19.2481,21.1491,18.9997,79,4
144,9,9,17.7242,0.725,2.0,0.5189,107.7923,17.5194,19.6768,18.4492,18.9967,80,3
66,4,6,17.2709,1.1377,1.0,0.4908,88.5747,18.1875,18.406,18.4086,18.9169,81,2
