unit_id,row,col,pop,obs,in_true_cluster,in_detected_cluster
0,0,0,1861,32,0,0
1,0,1,1568,29,0,0
2,0,2,1859,35,0,0
3,0,3,1797,46,0,0
4,0,4,1101,19,0,0
5,0,5,1115,28,0,0
6,0,6,1304,31,0,0
7,0,7,1154,25,0,0
8,0,8,1197,27,0,0
9,0,9,1060,15,0,0
10,0,10,1480,21,0,0
11,0,11,1563,37,0,0
12,0,12,1539,43,0,0
13,0,13,1866,39,0,0
14,0,14,1826,39,0,0
15,1,0,1759,36,0,0
16,1,1,1981,39,0,0
17,1,2,1648,33,0,0
18,1,3,1915,50,0,0
19,1,4,1612,24,0,0
20,1,5,1469,32,0,0
21,1,6,1273,30,0,0
22,1,7,1593,29,0,0
23,1,8,1300,30,0,0
24,1,9,1276,23,0,0
25,1,10,1364,21,0,0
26,1,11,1645,44,0,0
27,1,12,1730,32,0,0
28,1,13,1854,38,0,0
29,1,14,1950,45,0,0
30,2,0,2476,40,0,0
31,2,1,1942,41,0,0
32,2,2,1854,39,0,0
33,2,3,1693,40,0,0
34,2,4,1862,36,0,0
35,2,5,1848,33,0,0
36,2,6,1503,35,0,0
37,2,7,1297,22,0,0
38,2,8,1283,28,0,0
39,2,9,1608,25,0,0
40,2,10,1700,37,0,0
41,2,11,1764,37,0,0
42,2,12,1640,28,0,0
43,2,13,1934,50,0,0
44,2,14,2003,44,0,0
45,3,0,2180,27,0,0
46,3,1,2287,37,0,0
47,3,2,2090,47,0,0
48,3,3,2081,49,0,0
49,3,4,1841,41,0,0
50,3,5,1770,31,0,0
51,3,6,1742,39,0,0
52,3,7,1262,17,0,0
53,3,8,1473,34,0,0
54,3,9,1473,31,0,0
55,3,10,1513,42,0,0
56,3,11,1689,35,0,0
57,3,12,2162,35,0,0
58,3,13,1804,34,0,0
59,3,14,2263,36,0,0
60,4,0,1852,33,0,0
61,4,1,2098,41,0,0
62,4,2,2130,45,0,0
63,4,3,2115,124,1,1
64,4,4,2022,124,1,1
65,4,5,1923,114,1,1
66,4,6,1598,33,0,0
67,4,7,1514,34,0,0
68,4,8,1761,38,0,0
69,4,9,1581,37,0,0
70,4,10,1438,28,0,0
71,4,11,1570,29,0,0
72,4,12,1731,45,0,0
73,4,13,2129,43,0,0
