scenario,unmet_total,realized,n_open,jaccard_vs_base,gap_vs_n1
기준,108080.34191485593,19893.209867975973,10,1.0,6493.85758953977
β 1.5,108080.34191485593,16399.243046027703,10,0.42857142857142855,3256.691034999956
β 2.5,108080.34191485593,19893.209867975973,10,0.6666666666666666,7025.766307261389
사육률 ρ −30%,75656.23934039919,13925.246907583183,10,1.0,4545.700312677842
사육률 ρ +30%,140504.44448931288,25861.172828368766,10,1.0,8442.014866401703
용량 배수 1.4,108080.34191485596,15472.496563981313,10,1.0,2300.455797587467
용량 배수 1.0,108080.34191485596,11051.783259986654,10,1.0,0.0
2SFCA 반경 −30%,123415.738581316,19893.209867975973,10,1.0,6988.328577447557
2SFCA 반경 +30%,100483.43709038946,19893.209867975973,10,1.0,7411.06435292969
기여이익률 −30%,108080.34191485593,19893.209867975973,10,1.0,6493.85758953977
기여이익률 +30%,108080.34191485593,19893.209867975973,10,1.0,6493.85758953977
고정비 +30%,108080.34191485593,19893.209867975973,10,1.0,6493.85758953977
고정비 −30%,108080.34191485593,19893.209867975973,10,1.0,6493.85758953977
