rank,cand_id,sigungu,lon,lat,solo_animals,alloc_animals,realized_animals,capacity_util,marginal_animals,marginal_contribution_won,passes_cutline,ties_at_step
1,1515,은평구,126.92333931880871,37.64144364201148,3227.649464372992,3207.5247900213967,1989.3209867975975,1.0,1989.3209867975975,44162925.90690666,True,72
2,687,금천구,126.88500433524715,37.479008114073764,2737.5457284186728,2699.6902459915423,1989.3209867975975,1.0,1989.3209867975975,44162925.90690666,True,69
3,1699,관악구,126.93596590931787,37.47024879541335,2675.550306189629,2610.803027214786,1989.3209867975975,1.0,1989.3209867975975,44162925.90690666,True,60
4,1465,동작구,126.92439819292845,37.50399388915278,2566.3840395189263,2504.904187583412,1989.3209867975975,1.0,1989.3209867975975,44162925.90690666,True,48
5,5447,강동구,127.173036445219,37.565785407454165,2491.9842041574793,2488.755672841148,1989.3209867975975,1.0,1989.3209867975966,44162925.90690664,True,41
6,4960,강남구,127.10559575319911,37.47093674752422,2452.4159053039148,2447.767171541666,1989.3209867975975,1.0,1989.3209867975966,44162925.90690664,True,38
7,1539,영등포구,126.92708879434788,37.52203402775698,2333.584897930799,2293.061883756736,1989.3209867975975,1.0,1989.3209867975966,44162925.90690664,True,35
8,1586,관악구,126.93020904575056,37.483741552828086,2325.1877748429824,2241.461247011433,1989.3209867975975,1.0,1989.3209867975966,44162925.90690664,True,31
9,251,구로구,126.8424945851933,37.49004611520584,2181.548978905427,2161.720430920752,1989.3209867975975,1.0,1989.320986797593,44162925.90690656,True,24
10,1567,은평구,126.92639805521125,37.61216514478258,2176.4443154633113,2145.6187500609203,1989.3209867975975,1.0,1989.320986797593,44162925.90690656,True,19
