unit_id,row,col,pop,elderly,single,basic,crisis,medical_access,welfare_access,blindspot_risk,crisis_lag,access_lag,elderly_lag,pred_risk,priority_rank,pi_half,pi_low,pi_high,confidence
31,2,1,7509.0,0.2838,0.5105,0.1144,21.5078,28.3672,20.9202,18.6979,13.4663,27.2903,0.2694,18.2634,1,2.6235,15.6399,20.8869,낮음
75,5,0,12093.0,0.4067,0.4092,0.1001,13.6142,25.0713,16.0923,17.6537,15.3572,25.9087,0.2256,17.2576,2,1.0996,16.158,18.3572,높음
44,2,14,16179.0,0.3333,0.3378,0.1107,11.1902,34.7833,14.1487,16.921,14.0886,27.3573,0.2485,16.7268,3,2.0251,14.7017,18.752,낮음
104,6,14,10996.0,0.2774,0.42,0.1029,16.8486,24.5373,23.6541,16.9062,13.1725,23.0029,0.2554,16.6815,4,2.3051,14.3764,18.9866,낮음
30,2,0,9802.0,0.3687,0.4872,0.128,15.0579,36.4335,29.3124,16.5823,15.1247,27.4454,0.2255,16.6068,5,0.6823,15.9245,17.289,높음
88,5,13,20014.0,0.2751,0.3375,0.1012,19.0932,22.0907,13.9445,16.8833,13.1629,26.0865,0.2527,16.5951,6,1.3351,15.2599,17.9302,중간
78,5,3,13455.0,0.3384,0.3858,0.0715,14.2687,14.2255,28.5096,16.5694,13.7816,25.1738,0.21,16.4169,7,1.8438,14.573,18.2607,낮음
107,7,2,16932.0,0.2886,0.3872,0.0909,14.3625,26.9055,20.7871,15.9688,13.0543,27.2925,0.2089,15.7422,8,0.9778,14.7643,16.72,높음
80,5,5,16774.0,0.2231,0.3792,0.0942,19.4644,28.169,20.1477,16.1174,11.0216,18.9379,0.2354,15.6706,9,2.3977,13.2729,18.0683,낮음
105,7,0,2077.0,0.2506,0.3085,0.1188,12.5327,36.566,16.2584,15.8398,14.1257,26.8617,0.219,15.6295,10,1.8336,13.7958,17.4631,낮음
