region_id,row,col,true_econ,nightlight,aging,biz,decline,nl_lag,decline_lag,pred_decline,priority_rank
246,16,6,-1.8277,-1.7158,0.45,20.9064,10.7853,-1.6366,7.3774,10.4281,1
204,13,9,-2.4493,-4.0798,0.4356,5.0,9.5734,-1.434,7.4534,9.6,2
188,12,8,-2.124,-2.5924,0.345,18.431,8.8189,-1.5938,7.0793,8.5391,3
218,14,8,-1.8936,-1.3998,0.3718,19.3889,9.1989,-1.5509,7.5059,8.5354,4
234,15,9,-1.9772,-2.8384,0.346,15.284,8.664,-1.3022,7.6297,8.4737,5
219,14,9,-2.0026,-1.1066,0.336,10.0376,8.8177,-2.6113,8.725,8.4572,6
231,15,6,-1.7738,-2.2915,0.4033,17.1354,8.1038,-1.6507,8.483,8.2181,7
187,12,7,-2.0165,-1.7798,0.3649,6.5403,8.0057,-2.0067,7.9302,8.1638,8
249,16,9,-2.0069,-1.6425,0.3995,22.098,8.2872,-1.2339,6.8673,8.1443,9
230,15,5,-1.8002,-1.9992,0.3699,13.0321,7.8689,-1.2042,6.826,8.0903,10
172,11,7,-1.483,-1.6394,0.3466,20.8283,7.5924,-1.4467,6.7858,7.9775,11
205,13,10,-1.4609,-1.7598,0.3707,26.6737,8.1038,-1.5847,7.1875,7.903,12
217,14,7,-1.2753,-1.6539,0.3338,22.5284,7.9536,-1.5912,8.0449,7.806,13
174,11,9,-1.7517,-1.4112,0.3555,13.5024,7.766,-1.2098,6.3876,7.798,14
173,11,8,-1.828,-1.7261,0.4002,8.5068,7.4195,-1.6796,7.6026,7.7856,15
203,13,8,-1.5249,-2.3513,0.3529,24.8192,7.6412,-2.5373,8.8235,7.6794,16
202,13,7,-1.6814,-2.0771,0.3612,23.4131,7.7028,-1.5703,7.3494,7.6408,17
235,15,10,-1.7186,-1.368,0.3263,27.1079,7.8032,-2.1196,7.6864,7.6215,18
245,16,5,-1.5957,-1.6832,0.3567,24.9928,7.9395,-1.2009,7.0764,7.6159,19
247,16,7,-0.9103,-1.465,0.3302,26.7709,7.3,-1.2561,7.0607,7.6159,19
220,14,10,-1.5935,-2.1271,0.3312,23.5802,7.4638,-1.4529,7.8071,7.6148,21
216,14,6,-1.3841,-1.0166,0.321,30.1925,8.5907,-1.289,6.8304,7.4534,22
236,15,11,-1.9562,-2.2526,0.3576,16.8955,7.723,-0.9284,5.8027,7.3677,23
186,12,6,-1.2892,-1.718,0.3287,16.1405,7.6066,-1.0035,6.304,7.2904,24
263,17,8,-1.647,-2.068,0.3513,11.1925,7.7022,-0.7363,5.7712,7.2841,25
206,13,11,-1.4339,-0.1027,0.3321,14.6585,7.3741,-1.2794,6.8917,7.252,26
232,15,7,-1.6245,-1.8712,0.3136,16.3909,6.6871,-1.6255,7.2421,7.2225,27
264,17,9,-1.1618,-0.6667,0.2989,20.1475,7.2288,-1.1971,7.0748,7.1696,28
221,14,11,-1.0888,-1.5771,0.3585,26.9528,6.5039,-1.1219,6.9234,7.0898,29
276,18,6,-1.1956,-0.4607,0.3214,21.081,7.7294,-0.8995,4.9591,6.9703,30
262,17,7,-1.2955,-1.2674,0.326,22.9259,6.0892,-1.3688,6.7411,6.9376,31
171,11,6,-0.9477,-1.1716,0.3476,21.9403,6.8021,-1.1019,6.1891,6.7316,32
159,10,9,-1.4222,-1.4364,0.3486,25.6019,6.9015,-1.1446,6.3001,6.7077,33
250,16,10,-1.4724,-1.2606,0.3275,23.4359,6.895,-0.9749,6.7746,6.6929,34
260,17,5,-0.9755,-1.0144,0.2791,21.1718,6.3119,-1.3936,5.8843,6.6203,35
160,10,10,-1.1087,-0.936,0.354,25.7737,6.2699,-1.2854,6.1773,6.5653,36
158,10,8,-1.2586,-1.0754,0.3447,25.6066,6.2332,-1.0498,5.8306,6.4642,37
207,13,12,-1.2022,-0.9631,0.2848,20.8056,6.4614,-0.502,5.475,6.4321,38
8,0,8,-0.8954,-0.5749,0.2532,29.6752,6.938,-0.2095,5.4708,6.35,39
293,19,8,-1.8138,-2.7223,0.36,22.7346,6.5597,-0.5367,4.5001,6.3395,40
261,17,6,-1.2904,-1.1066,0.2842,22.3355,6.1662,-1.1146,7.7289,6.2644,41
9,0,9,-1.116,-0.1632,0.3331,20.1506,6.3012,0.0665,5.043,6.1366,42
214,14,4,-1.0414,-0.6065,0.2936,28.1153,6.7176,-0.8386,5.3841,6.1081,43
191,12,11,-1.0194,-0.8178,0.2737,27.8187,6.4977,-0.1345,5.0286,6.0677,44
277,18,7,-1.5219,-0.8356,0.3347,22.6286,5.7959,-0.4497,5.5548,6.0529,45
215,14,5,-0.9039,-0.7143,0.3136,29.6275,5.4672,-0.9904,7.4186,6.0255,46
228,15,3,-0.8318,-0.6897,0.3363,28.5554,6.0742,-0.3346,5.0548,6.0239,47
142,9,7,-1.5099,-1.3109,0.31,26.0724,6.9006,-0.4115,4.6846,5.9043,48
259,17,4,-1.0396,-1.5285,0.3324,19.0182,5.824,-0.3768,3.7313,5.8811,49
145,9,10,-0.5863,-1.3986,0.3131,27.8093,6.5119,-0.6718,4.5282,5.8796,50
144,9,9,-0.9671,-1.1557,0.311,23.8203,4.9312,-0.8143,5.6001,5.8437,51
280,18,10,-0.6453,-1.9708,0.2955,24.3332,5.3497,-0.8888,5.5242,5.8426,52
189,12,9,-0.8842,-0.5181,0.2985,27.7298,5.2508,-2.0282,7.6243,5.8368,53
175,11,10,-0.972,-1.1585,0.3144,29.6973,5.9785,-0.4757,5.5396,5.8262,54
243,16,3,-0.9264,-1.025,0.3028,25.6242,6.4147,-0.5577,4.3924,5.7547,55
233,15,8,-1.3404,-1.0916,0.319,32.206,5.6109,-1.5698,7.3078,5.7517,56
170,11,5,-1.0605,-0.8692,0.3655,26.0932,4.9755,-0.6222,4.9961,5.6747,57
200,13,5,-1.0896,-0.3395,0.29,33.7051,6.497,-0.878,5.0699,5.6704,58
213,14,3,-0.7299,-0.7772,0.2787,29.799,5.8719,-0.7592,5.0072,5.5819,59
279,18,9,-0.9579,-0.758,0.3066,31.0097,6.9815,-1.2546,5.6909,5.5391,60
229,15,4,-0.9882,-0.1276,0.2291,15.5565,5.7934,-0.8424,6.0001,5.4621,61
7,0,7,-0.9557,-0.2407,0.3208,20.8696,4.9016,-0.257,4.9868,5.4439,62
141,9,6,-0.8831,-0.7024,0.3386,35.2459,5.7482,-0.2139,4.0492,5.4166,63
265,17,10,-0.7265,-0.3199,0.3185,26.1165,5.3285,-1.1773,5.7705,5.4063,64
23,1,8,-0.6377,-0.2247,0.2697,28.9194,5.2095,0.0956,5.0054,5.3759,65
238,15,13,-0.8105,-2.1273,0.3537,29.7416,4.4781,-0.359,4.3615,5.374,66
157,10,7,-0.6441,-1.1092,0.3143,34.738,4.916,-1.0517,6.3271,5.3298,67
281,18,11,-1.1601,-1.7961,0.348,31.2065,6.3055,-0.7697,3.5107,5.3235,68
21,1,6,-0.59,-0.6948,0.2864,27.7181,5.2502,-0.0831,3.4673,5.2994,69
222,14,12,-0.7399,-0.0052,0.2595,26.6227,5.1327,-0.9253,5.4755,5.2132,70
201,13,6,-0.9886,-0.4962,0.2768,31.8219,5.7969,-1.2878,7.5993,5.2055,71
169,11,4,-0.4614,-0.9905,0.3281,33.9993,5.3015,-0.2715,4.1499,5.1893,72
278,18,8,-0.7024,-0.8413,0.289,33.7686,5.0854,-1.596,6.7598,5.1563,73
185,12,5,-0.4726,-0.5663,0.2858,31.8785,4.6114,-0.8709,5.4821,5.1511,74
251,16,11,-0.8755,-0.5694,0.2878,35.27,5.6798,-1.0343,5.2869,5.1361,75
199,13,4,-0.913,-1.7352,0.3059,36.4963,4.404,-0.77,5.227,5.0841,76
190,12,10,-0.6264,-0.0295,0.2652,28.9071,4.3388,-1.0636,6.4577,5.0677,77
223,14,13,-0.8567,-0.9619,0.2379,28.3046,5.7127,-0.6253,4.3795,5.0571,78
294,19,9,-0.8351,-1.5397,0.2908,41.5817,5.0997,-1.3872,5.6742,5.0436,79
161,10,11,-0.6898,-1.1482,0.3105,40.4464,5.3176,-0.0793,3.5738,4.8183,80
6,0,6,-0.5935,-0.7774,0.3085,31.5257,4.2779,-0.7819,4.8768,4.7996,81
208,13,13,-0.7123,-1.0201,0.2832,39.2734,4.7755,-0.3245,4.5598,4.7863,82
128,8,8,-0.6983,-1.4585,0.2577,31.5928,4.4132,-0.1672,4.4525,4.7838,83
198,13,3,-0.4821,-1.5771,0.3097,40.0562,4.8442,-0.6472,4.1452,4.7315,84
192,12,12,-0.7226,-0.88,0.3087,36.0986,4.6177,-0.5242,4.7048,4.6805,85
