site,zone,설명,면적_km2,면적_B대비_%,건물수,건물_B대비_%,바닥면적_ha
옥수,A1,경위도 버퍼 0.02695°,22.327380858982092,-20.90604998073249,6473,-37.41661026781398,224.9465520480375
옥수,A2,웹 메르카토르 buffer(3000),17.704052665167357,-37.28402514019435,4062,-60.72706178091463,157.94542421031088
옥수,B,투영(5179) buffer(3000),28.228936414912997,0.0,10343,0.0,320.5196171382761
옥수,C,"도로망 3,000m 도달권",14.223785381288788,-49.612747812296114,2418,-76.62186986367591,106.53191379884737
옥수,D,"주행 10분 등시권(3,333m)",17.972487901040328,-36.33310289527704,3978,-61.53920525959586,157.95490168979634
신림,A1,경위도 버퍼 0.02695°,22.344405921784233,-20.845739303235106,10282,-12.11214633729378,226.12412989093232
신림,A2,웹 메르카토르 buffer(3000),17.73096969610619,-37.188672518532655,8961,-23.403709718779382,186.77898092424158
신림,B,투영(5179) buffer(3000),28.228936414912997,0.0,11699,0.0,281.583017018178
신림,C,"도로망 3,000m 도달권",16.904570637396304,-40.11616169688267,9233,-21.078724677322853,183.25950431216896
신림,D,"주행 10분 등시권(3,333m)",20.63998655147297,-26.883584106381278,10405,-11.060774425164539,240.2777974789354
화곡,A1,경위도 버퍼 0.02695°,22.3281065650928,-20.903479192729563,9744,-17.107613781369636,307.8862878933491
화곡,A2,웹 메르카토르 buffer(3000),17.704509371601336,-37.28240727394793,8706,-25.93789876648235,231.530133059009
화곡,B,투영(5179) buffer(3000),28.228936414912997,0.0,11755,0.0,377.6586819469982
화곡,C,"도로망 3,000m 도달권",14.937835881789015,-47.08324939264258,8379,-28.71969374734155,231.50014622562276
화곡,D,"주행 10분 등시권(3,333m)",18.443667039414482,-34.66396760994891,9187,-21.846022968949384,293.89440149323235
