파라미터,값,사람_규칙_km2,사람_CNN_km2,규칙_CNN_km2
기준(위 설정),—,,52.05379124919416,24.81332789373793
오분류 처리비,"10,000원",9.012276655044912,41.74729006612952,124.06663946868966
오분류 처리비,"50,000원",,52.05379124919416,24.81332789373793
오분류 처리비,"200,000원",,701.4743103084321,6.203331973434483
오분류 처리비,"500,000원",,,2.4813327893737926
판독 1건 소요,0.5분,,2805.8972412337284,24.81332789373793
판독 1건 소요,2.0분,,52.05379124919416,24.81332789373793
판독 1건 소요,5.0분,6.761429087578227,17.568546463371565,24.81332789373793
라벨 1장 단가,500원,,44.1513489545078,20.358224160727413
라벨 1장 단가,"1,500원",,52.05379124919416,24.81332789373793
라벨 1장 단가,"5,000원",,79.71233928059638,40.40619095927473
CNN 구축 인일,5일,,25.253706044417736,9.704434315219466
CNN 구축 인일,15일,,52.05379124919416,24.81332789373793
CNN 구축 인일,40일,,119.05400426113519,62.58556184003408
