품목,가정CR,평균발주,총손실,최적대비초과,참CR
도시락,0.1,62.6,63916400.0,18250400.0,0.375
도시락,0.25,74.7,48825600.0,3159600.0,0.375
도시락,0.375,81.8,45666000.0,0.0,0.375
도시락,0.5,88.0,46697600.0,1031600.0,0.375
도시락,0.75,102.1,64122800.0,18456800.0,0.375
도시락,0.909,117.0,100978400.0,55312400.0,0.375
도시락,0.95,123.1,119353200.0,73687200.0,0.375
우산,0.1,9.0,211434000.0,181422000.0,0.909
우산,0.25,12.6,133045500.0,103033500.0,0.909
우산,0.375,14.6,97528500.0,67516500.0,0.909
우산,0.5,16.5,72345000.0,42333000.0,0.909
우산,0.75,20.8,37879500.0,7867500.0,0.909
우산,0.909,25.1,30012000.0,0.0,0.909
우산,0.95,26.9,31204500.0,1192500.0,0.909
