admin_area,n_units,protected_share,mean_pressure,mean_habitat_value,pre_loss,post_loss,mean_loss_change,estimated_avoided_loss_pp,high_priority_units,priority_score,priority_rank
A01,30,0.26666666666666666,0.7286009526008094,0.2511479125292282,5.156526037137894,5.416803851225645,0.26027781408775097,0.21930801715438564,8,0.8,1
A02,30,0.3333333333333333,0.653883335819443,0.349119645643322,4.784563273259169,4.974960277856032,0.1903970045968632,0.274135021442982,7,0.6835183949386827,2
A09,30,0.2,0.7249320315967177,0.2914496163994026,4.54505606852667,4.870725343667024,0.3256692751403542,0.16448101286578923,4,0.6066089199586944,3
A08,30,0.3,0.7004097450952053,0.3195604384632709,4.619721098106103,4.841447497705074,0.2217263995989697,0.24672151929868386,3,0.573109304172252,4
A07,30,0.4,0.5925483005196273,0.3986227266848542,4.759149531014047,4.926661798610137,0.16751226759609059,0.32896202573157846,3,0.5568796561645488,5
A10,30,0.5,0.6330653942794275,0.36176535933420906,4.639255230051133,4.689811436267502,0.050556206216368534,0.41120253216447306,3,0.5176876387419481,6
A06,30,0.7,0.4407182646457891,0.5721835003348507,4.614693133559654,4.537016892966568,-0.07767624059308555,0.5756835450302623,2,0.4365985082438693,7
A03,30,0.6333333333333333,0.4970509663394293,0.5249251787841263,4.107329134749397,4.095260872496996,-0.012068262252401112,0.5208565407416659,0,0.31122279926919194,8
A05,30,0.8,0.3607000526758394,0.6492312205589947,4.175828165890208,4.057155530546535,-0.11867263534367292,0.6579240514631569,0,0.27326467523688125,9
A04,30,0.8666666666666667,0.36719725667617004,0.5900030202632507,3.9954082355953195,3.697193560616624,-0.2982146749786954,0.7127510557517532,0,0.17465836420704617,10
